re,im
-14.725401,-5.561006
-14.418050,-5.548467
-14.120708,-5.535929
-13.832880,-5.523390
-13.554107,-5.510851
-13.283955,-5.498312
-13.022020,-5.485773
-12.767922,-5.473234
-12.521304,-5.460695
-12.281832,-5.448156
-12.049190,-5.435617
-11.823080,-5.423078
-11.603224,-5.410539
-11.389356,-5.398001
-11.181228,-5.385462
-10.978603,-5.372923
-10.781260,-5.360384
-10.588987,-5.347845
-10.401584,-5.335306
-10.218863,-5.322767
-10.040643,-5.310228
-9.866755,-5.297689
-9.697036,-5.285150
-9.531333,-5.272611
-9.369499,-5.260073
-9.211395,-5.247534
-9.056889,-5.234995
-8.905854,-5.222456
-8.758170,-5.209917
-8.613722,-5.197378
-8.472401,-5.184839
-8.334102,-5.172300
-8.198725,-5.159761
-8.066174,-5.147222
-7.936358,-5.134683
-7.809189,-5.122145
-7.684585,-5.109606
-7.562464,-5.097067
-7.442749,-5.084528
-7.325368,-5.071989
-7.210250,-5.059450
-7.097326,-5.046911
-6.986531,-5.034372
-6.877804,-5.021833
-6.771085,-5.009294
-6.666314,-4.996755
-6.563438,-4.984217
-6.462402,-4.971678
-6.363156,-4.959139
-6.265650,-4.946600
-6.169836,-4.934061
-6.075669,-4.921522
-5.983105,-4.908983
-5.892100,-4.896444
-5.802615,-4.883905
-5.714608,-4.871366
-5.628043,-4.858827
-5.542882,-4.846289
-5.459090,-4.833750
-5.376632,-4.821211
-5.295476,-4.808672
-5.215588,-4.796133
-5.136939,-4.783594
-5.059498,-4.771055
-4.983236,-4.758516
-4.908125,-4.745977
-4.834138,-4.733438
-4.761248,-4.720899
-4.689431,-4.708361
-4.618662,-4.695822
-4.548916,-4.683283
-4.480171,-4.670744
-4.412403,-4.658205
-4.345593,-4.645666
-4.279717,-4.633127
-4.214757,-4.620588
-4.150692,-4.608049
-4.087503,-4.595510
-4.025170,-4.582971
-3.963677,-4.570433
-3.903006,-4.557894
-3.843138,-4.545355
-3.784059,-4.532816
-3.725751,-4.520277
-3.668199,-4.507738
-3.611388,-4.495199
-3.555302,-4.482660
-3.499928,-4.470121
-3.445252,-4.457582
-3.391259,-4.445043
-3.337937,-4.432505
-3.285272,-4.419966
-3.233253,-4.407427
-3.181866,-4.394888
-3.131101,-4.382349
-3.080944,-4.369810
-3.031386,-4.357271
-2.982414,-4.344732
-2.934019,-4.332193
-2.886190,-4.319654
-2.838916,-4.307115
-2.792188,-4.294577
-2.745996,-4.282038
-2.700330,-4.269499
-2.655182,-4.256960
-2.610542,-4.244421
-2.566402,-4.231882
-2.522752,-4.219343
-2.479586,-4.206804
-2.436894,-4.194265
-2.394668,-4.181726
-2.352901,-4.169187
-2.311586,-4.156649
-2.270714,-4.144110
-2.230278,-4.131571
-2.190273,-4.119032
-2.150689,-4.106493
-2.111522,-4.093954
-2.072764,-4.081415
-2.034408,-4.068876
-1.996449,-4.056337
-1.958880,-4.043798
-1.921696,-4.031259
-1.884890,-4.018721
-1.848456,-4.006182
-1.812390,-3.993643
-1.776685,-3.981104
-1.741335,-3.968565
-1.706337,-3.956026
-1.671684,-3.943487
-1.637372,-3.930948
-1.603395,-3.918409
-1.569749,-3.905870
-1.536429,-3.893331
-1.503431,-3.880792
-1.470749,-3.868254
-1.438379,-3.855715
-1.406317,-3.843176
-1.374559,-3.830637
-1.343100,-3.818098
-1.311937,-3.805559
-1.281065,-3.793020
-1.250480,-3.780481
-1.220179,-3.767942
-1.190158,-3.755403
-1.160412,-3.742864
-1.130939,-3.730326
-1.101735,-3.717787
-1.072795,-3.705248
-1.044118,-3.692709
-1.015699,-3.680170
-0.987535,-3.667631
-0.959623,-3.655092
-0.931960,-3.642553
-0.904543,-3.630014
-0.877368,-3.617475
-0.850432,-3.604936
-0.823733,-3.592398
-0.797268,-3.579859
-0.771033,-3.567320
-0.745027,-3.554781
-0.719245,-3.542242
-0.693687,-3.529703
-0.668348,-3.517164
-0.643226,-3.504625
-0.618320,-3.492086
-0.593626,-3.479547
-0.569141,-3.467008
-0.544864,-3.454470
-0.520792,-3.441931
-0.496923,-3.429392
-0.473254,-3.416853
-0.449783,-3.404314
-0.426508,-3.391775
-0.403427,-3.379236
-0.380538,-3.366697
-0.357838,-3.354158
-0.335325,-3.341619
-0.312998,-3.329080
-0.290855,-3.316542
-0.268893,-3.304003
-0.247110,-3.291464
-0.225505,-3.278925
-0.204076,-3.266386
-0.182821,-3.253847
-0.161738,-3.241308
-0.140826,-3.228769
-0.120082,-3.216230
-0.099505,-3.203691
-0.079093,-3.191152
-0.058844,-3.178614
-0.038758,-3.166075
-0.018832,-3.153536
0.000936,-3.140997
0.020546,-3.128458
0.040001,-3.115919
0.059301,-3.103380
0.078449,-3.090841
0.097446,-3.078302
0.116293,-3.065763
0.134992,-3.053224
0.153544,-3.040686
0.171950,-3.028147
0.190212,-3.015608
0.208332,-3.003069
0.226309,-2.990530
0.244147,-2.977991
0.261846,-2.965452
0.279406,-2.952913
0.296831,-2.940374
0.314120,-2.927835
0.331275,-2.915296
0.348297,-2.902758
0.365188,-2.890219
0.381948,-2.877680
0.398578,-2.865141
0.415081,-2.852602
0.431456,-2.840063
0.447704,-2.827524
0.463828,-2.814985
0.479828,-2.802446
0.495704,-2.789907
0.511459,-2.777368
0.527093,-2.764830
0.542606,-2.752291
0.558001,-2.739752
0.573278,-2.727213
0.588437,-2.714674
0.603481,-2.702135
0.618409,-2.689596
0.633222,-2.677057
0.647922,-2.664518
0.662510,-2.651979
0.676986,-2.639440
0.691351,-2.626902
0.705606,-2.614363
0.719752,-2.601824
0.733790,-2.589285
0.747720,-2.576746
0.761543,-2.564207
0.775261,-2.551668
0.788873,-2.539129
0.802381,-2.526590
0.815785,-2.514051
0.829086,-2.501512
0.842285,-2.488974
0.855383,-2.476435
0.868380,-2.463896
0.881277,-2.451357
0.894074,-2.438818
0.906773,-2.426279
0.919374,-2.413740
0.931878,-2.401201
0.944285,-2.388662
0.956597,-2.376123
0.968813,-2.363584
0.980934,-2.351046
0.992961,-2.338507
1.004895,-2.325968
1.016735,-2.313429
1.028484,-2.300890
1.040141,-2.288351
1.051707,-2.275812
1.063183,-2.263273
1.074568,-2.250734
1.085865,-2.238195
1.097072,-2.225656
1.108191,-2.213118
1.119223,-2.200579
1.130167,-2.188040
1.141025,-2.175501
1.151797,-2.162962
1.162483,-2.150423
1.173084,-2.137884
1.183600,-2.125345
1.194033,-2.112806
1.204382,-2.100267
1.214647,-2.087728
1.224830,-2.075190
1.234931,-2.062651
1.244950,-2.050112
1.254888,-2.037573
1.264745,-2.025034
1.274522,-2.012495
1.284219,-1.999956
1.293836,-1.987417
1.303375,-1.974878
1.312835,-1.962339
1.322216,-1.949800
1.331520,-1.937262
1.340746,-1.924723
1.349896,-1.912184
1.358969,-1.899645
1.367965,-1.887106
1.376886,-1.874567
1.385732,-1.862028
1.394502,-1.849489
1.403198,-1.836950
1.411819,-1.824411
1.420367,-1.811872
1.428841,-1.799334
1.437241,-1.786795
1.445569,-1.774256
1.453825,-1.761717
1.462008,-1.749178
1.470119,-1.736639
1.478159,-1.724100
1.486128,-1.711561
1.494026,-1.699022
1.501853,-1.686483
1.509610,-1.673944
1.517297,-1.661406
1.524915,-1.648867
1.532463,-1.636328
1.539942,-1.623789
1.547353,-1.611250
1.554695,-1.598711
1.561969,-1.586172
1.569175,-1.573633
1.576314,-1.561094
1.583386,-1.548555
1.590390,-1.536016
1.597328,-1.523478
1.604199,-1.510939
1.611004,-1.498400
1.617743,-1.485861
1.624417,-1.473322
1.631025,-1.460783
1.637568,-1.448244
1.644046,-1.435705
1.650459,-1.423166
1.656808,-1.410627
1.663093,-1.398088
1.669313,-1.385550
1.675470,-1.373011
1.681564,-1.360472
1.687594,-1.347933
1.693561,-1.335394
1.699465,-1.322855
1.705307,-1.310316
1.711086,-1.297777
1.716803,-1.285238
1.722459,-1.272699
1.728052,-1.260160
1.733584,-1.247621
1.739054,-1.235083
1.744463,-1.222544
1.749811,-1.210005
1.755099,-1.197466
1.760326,-1.184927
1.765492,-1.172388
1.770598,-1.159849
1.775644,-1.147310
1.780630,-1.134771
1.785557,-1.122232
1.790424,-1.109693
1.795231,-1.097155
1.799980,-1.084616
1.804669,-1.072077
1.809300,-1.059538
1.813871,-1.046999
1.818385,-1.034460
1.822839,-1.021921
1.827236,-1.009382
1.831574,-0.996843
1.835855,-0.984304
1.840078,-0.971765
1.844243,-0.959227
1.848351,-0.946688
1.852401,-0.934149
1.856394,-0.921610
1.860330,-0.909071
1.864209,-0.896532
1.868031,-0.883993
1.871796,-0.871454
1.875505,-0.858915
1.879158,-0.846376
1.882754,-0.833837
1.886294,-0.821299
1.889777,-0.808760
1.893205,-0.796221
1.896577,-0.783682
1.899893,-0.771143
1.903154,-0.758604
1.906359,-0.746065
1.909509,-0.733526
1.912603,-0.720987
1.915642,-0.708448
1.918626,-0.695909
1.921555,-0.683371
1.924429,-0.670832
1.927248,-0.658293
1.930012,-0.645754
1.932722,-0.633215
1.935377,-0.620676
1.937978,-0.608137
1.940525,-0.595598
1.943017,-0.583059
1.945454,-0.570520
1.947838,-0.557981
1.950168,-0.545443
1.952443,-0.532904
1.954665,-0.520365
1.956833,-0.507826
1.958947,-0.495287
1.961007,-0.482748
1.963014,-0.470209
1.964967,-0.457670
1.966867,-0.445131
1.968713,-0.432592
1.970506,-0.420053
1.972245,-0.407515
1.973931,-0.394976
1.975564,-0.382437
1.977144,-0.369898
1.978670,-0.357359
1.980144,-0.344820
1.981564,-0.332281
1.982932,-0.319742
1.984246,-0.307203
1.985508,-0.294664
1.986717,-0.282125
1.987872,-0.269587
1.988976,-0.257048
1.990026,-0.244509
1.991024,-0.231970
1.991969,-0.219431
1.992861,-0.206892
1.993701,-0.194353
1.994488,-0.181814
1.995222,-0.169275
1.995904,-0.156736
1.996533,-0.144197
1.997110,-0.131659
1.997635,-0.119120
1.998106,-0.106581
1.998526,-0.094042
1.998893,-0.081503
1.999207,-0.068964
1.999469,-0.056425
1.999679,-0.043886
1.999836,-0.031347
2.000000,0.000000
2.000000,0.000000
2.000000,0.000000
2.000000,0.000000
1.999836,0.031347
1.999679,0.043886
1.999469,0.056425
1.999207,0.068964
1.998893,0.081503
1.998526,0.094042
1.998106,0.106581
1.997635,0.119120
1.997110,0.131659
1.996533,0.144197
1.995904,0.156736
1.995222,0.169275
1.994488,0.181814
1.993701,0.194353
1.992861,0.206892
1.991969,0.219431
1.991024,0.231970
1.990026,0.244509
1.988976,0.257048
1.987872,0.269587
1.986717,0.282125
1.985508,0.294664
1.984246,0.307203
1.982932,0.319742
1.981564,0.332281
1.980144,0.344820
1.978670,0.357359
1.977144,0.369898
1.975564,0.382437
1.973931,0.394976
1.972245,0.407515
1.970506,0.420053
1.968713,0.432592
1.966867,0.445131
1.964967,0.457670
1.963014,0.470209
1.961007,0.482748
1.958947,0.495287
1.956833,0.507826
1.954665,0.520365
1.952443,0.532904
1.950168,0.545443
1.947838,0.557981
1.945454,0.570520
1.943017,0.583059
1.940525,0.595598
1.937978,0.608137
1.935377,0.620676
1.932722,0.633215
1.930012,0.645754
1.927248,0.658293
1.924429,0.670832
1.921555,0.683371
1.918626,0.695909
1.915642,0.708448
1.912603,0.720987
1.909509,0.733526
1.906359,0.746065
1.903154,0.758604
1.899893,0.771143
1.896577,0.783682
1.893205,0.796221
1.889777,0.808760
1.886294,0.821299
1.882754,0.833837
1.879158,0.846376
1.875505,0.858915
1.871796,0.871454
1.868031,0.883993
1.864209,0.896532
1.860330,0.909071
1.856394,0.921610
1.852401,0.934149
1.848351,0.946688
1.844243,0.959227
1.840078,0.971765
1.835855,0.984304
1.831574,0.996843
1.827236,1.009382
1.822839,1.021921
1.818385,1.034460
1.813871,1.046999
1.809300,1.059538
1.804669,1.072077
1.799980,1.084616
1.795231,1.097155
1.790424,1.109693
1.785557,1.122232
1.780630,1.134771
1.775644,1.147310
1.770598,1.159849
1.765492,1.172388
1.760326,1.184927
1.755099,1.197466
1.749811,1.210005
1.744463,1.222544
1.739054,1.235083
1.733584,1.247621
1.728052,1.260160
1.722459,1.272699
1.716803,1.285238
1.711086,1.297777
1.705307,1.310316
1.699465,1.322855
1.693561,1.335394
1.687594,1.347933
1.681564,1.360472
1.675470,1.373011
1.669313,1.385550
1.663093,1.398088
1.656808,1.410627
1.650459,1.423166
1.644046,1.435705
1.637568,1.448244
1.631025,1.460783
1.624417,1.473322
1.617743,1.485861
1.611004,1.498400
1.604199,1.510939
1.597328,1.523478
1.590390,1.536016
1.583386,1.548555
1.576314,1.561094
1.569175,1.573633
1.561969,1.586172
1.554695,1.598711
1.547353,1.611250
1.539942,1.623789
1.532463,1.636328
1.524915,1.648867
1.517297,1.661406
1.509610,1.673944
1.501853,1.686483
1.494026,1.699022
1.486128,1.711561
1.478159,1.724100
1.470119,1.736639
1.462008,1.749178
1.453825,1.761717
1.445569,1.774256
1.437241,1.786795
1.428841,1.799334
1.420367,1.811872
1.411819,1.824411
1.403198,1.836950
1.394502,1.849489
1.385732,1.862028
1.376886,1.874567
1.367965,1.887106
1.358969,1.899645
1.349896,1.912184
1.340746,1.924723
1.331520,1.937262
1.322216,1.949800
1.312835,1.962339
1.303375,1.974878
1.293836,1.987417
1.284219,1.999956
1.274522,2.012495
1.264745,2.025034
1.254888,2.037573
1.244950,2.050112
1.234931,2.062651
1.224830,2.075190
1.214647,2.087728
1.204382,2.100267
1.194033,2.112806
1.183600,2.125345
1.173084,2.137884
1.162483,2.150423
1.151797,2.162962
1.141025,2.175501
1.130167,2.188040
1.119223,2.200579
1.108191,2.213118
1.097072,2.225656
1.085865,2.238195
1.074568,2.250734
1.063183,2.263273
1.051707,2.275812
1.040141,2.288351
1.028484,2.300890
1.016735,2.313429
1.004895,2.325968
0.992961,2.338507
0.980934,2.351046
0.968813,2.363584
0.956597,2.376123
0.944285,2.388662
0.931878,2.401201
0.919374,2.413740
0.906773,2.426279
0.894074,2.438818
0.881277,2.451357
0.868380,2.463896
0.855383,2.476435
0.842285,2.488974
0.829086,2.501512
0.815785,2.514051
0.802381,2.526590
0.788873,2.539129
0.775261,2.551668
0.761543,2.564207
0.747720,2.576746
0.733790,2.589285
0.719752,2.601824
0.705606,2.614363
0.691351,2.626902
0.676986,2.639440
0.662510,2.651979
0.647922,2.664518
0.633222,2.677057
0.618409,2.689596
0.603481,2.702135
0.588437,2.714674
0.573278,2.727213
0.558001,2.739752
0.542606,2.752291
0.527093,2.764830
0.511459,2.777368
0.495704,2.789907
0.479828,2.802446
0.463828,2.814985
0.447704,2.827524
0.431456,2.840063
0.415081,2.852602
0.398578,2.865141
0.381948,2.877680
0.365188,2.890219
0.348297,2.902758
0.331275,2.915296
0.314120,2.927835
0.296831,2.940374
0.279406,2.952913
0.261846,2.965452
0.244147,2.977991
0.226309,2.990530
0.208332,3.003069
0.190212,3.015608
0.171950,3.028147
0.153544,3.040686
0.134992,3.053224
0.116293,3.065763
0.097446,3.078302
0.078449,3.090841
0.059301,3.103380
0.040001,3.115919
0.020546,3.128458
0.000936,3.140997
-0.018832,3.153536
-0.038758,3.166075
-0.058844,3.178614
-0.079093,3.191152
-0.099505,3.203691
-0.120082,3.216230
-0.140826,3.228769
-0.161738,3.241308
-0.182821,3.253847
-0.204076,3.266386
-0.225505,3.278925
-0.247110,3.291464
-0.268893,3.304003
-0.290855,3.316542
-0.312998,3.329080
-0.335325,3.341619
-0.357838,3.354158
-0.380538,3.366697
-0.403427,3.379236
-0.426508,3.391775
-0.449783,3.404314
-0.473254,3.416853
-0.496923,3.429392
-0.520792,3.441931
-0.544864,3.454470
-0.569141,3.467008
-0.593626,3.479547
-0.618320,3.492086
-0.643226,3.504625
-0.668348,3.517164
-0.693687,3.529703
-0.719245,3.542242
-0.745027,3.554781
-0.771033,3.567320
-0.797268,3.579859
-0.823733,3.592398
-0.850432,3.604936
-0.877368,3.617475
-0.904543,3.630014
-0.931960,3.642553
-0.959623,3.655092
-0.987535,3.667631
-1.015699,3.680170
-1.044118,3.692709
-1.072795,3.705248
-1.101735,3.717787
-1.130939,3.730326
-1.160412,3.742864
-1.190158,3.755403
-1.220179,3.767942
-1.250480,3.780481
-1.281065,3.793020
-1.311937,3.805559
-1.343100,3.818098
-1.374559,3.830637
-1.406317,3.843176
-1.438379,3.855715
-1.470749,3.868254
-1.503431,3.880792
-1.536429,3.893331
-1.569749,3.905870
-1.603395,3.918409
-1.637372,3.930948
-1.671684,3.943487
-1.706337,3.956026
-1.741335,3.968565
-1.776685,3.981104
-1.812390,3.993643
-1.848456,4.006182
-1.884890,4.018721
-1.921696,4.031259
-1.958880,4.043798
-1.996449,4.056337
-2.034408,4.068876
-2.072764,4.081415
-2.111522,4.093954
-2.150689,4.106493
-2.190273,4.119032
-2.230278,4.131571
-2.270714,4.144110
-2.311586,4.156649
-2.352901,4.169187
-2.394668,4.181726
-2.436894,4.194265
-2.479586,4.206804
-2.522752,4.219343
-2.566402,4.231882
-2.610542,4.244421
-2.655182,4.256960
-2.700330,4.269499
-2.745996,4.282038
-2.792188,4.294577
-2.838916,4.307115
-2.886190,4.319654
-2.934019,4.332193
-2.982414,4.344732
-3.031386,4.357271
-3.080944,4.369810
-3.131101,4.382349
-3.181866,4.394888
-3.233253,4.407427
-3.285272,4.419966
-3.337937,4.432505
-3.391259,4.445043
-3.445252,4.457582
-3.499928,4.470121
-3.555302,4.482660
-3.611388,4.495199
-3.668199,4.507738
-3.725751,4.520277
-3.784059,4.532816
-3.843138,4.545355
-3.903006,4.557894
-3.963677,4.570433
-4.025170,4.582971
-4.087503,4.595510
-4.150692,4.608049
-4.214757,4.620588
-4.279717,4.633127
-4.345593,4.645666
-4.412403,4.658205
-4.480171,4.670744
-4.548916,4.683283
-4.618662,4.695822
-4.689431,4.708361
-4.761248,4.720899
-4.834138,4.733438
-4.908125,4.745977
-4.983236,4.758516
-5.059498,4.771055
-5.136939,4.783594
-5.215588,4.796133
-5.295476,4.808672
-5.376632,4.821211
-5.459090,4.833750
-5.542882,4.846289
-5.628043,4.858827
-5.714608,4.871366
-5.802615,4.883905
-5.892100,4.896444
-5.983105,4.908983
-6.075669,4.921522
-6.169836,4.934061
-6.265650,4.946600
-6.363156,4.959139
-6.462402,4.971678
-6.563438,4.984217
-6.666314,4.996755
-6.771085,5.009294
-6.877804,5.021833
-6.986531,5.034372
-7.097326,5.046911
-7.210250,5.059450
-7.325368,5.071989
-7.442749,5.084528
-7.562464,5.097067
-7.684585,5.109606
-7.809189,5.122145
-7.936358,5.134683
-8.066174,5.147222
-8.198725,5.159761
-8.334102,5.172300
-8.472401,5.184839
-8.613722,5.197378
-8.758170,5.209917
-8.905854,5.222456
-9.056889,5.234995
-9.211395,5.247534
-9.369499,5.260073
-9.531333,5.272611
-9.697036,5.285150
-9.866755,5.297689
-10.040643,5.310228
-10.218863,5.322767
-10.401584,5.335306
-10.588987,5.347845
-10.781260,5.360384
-10.978603,5.372923
-11.181228,5.385462
-11.389356,5.398001
-11.603224,5.410539
-11.823080,5.423078
-12.049190,5.435617
-12.281832,5.448156
-12.521304,5.460695
-12.767922,5.473234
-13.022020,5.485773
-13.283955,5.498312
-13.554107,5.510851
-13.832880,5.523390
-14.120708,5.535929
-14.418050,5.548467
-14.725401,5.561006
